,timestamp,likeable,surprising,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,age,gender,edu,group
99,2019/01/10 1:17:38 PM EST,8.0,6.0,88.0,25.0,1.0,15.0,35.0,-88.0,-45.0,56.0,-50.0,302.0,35.0,none,4yr,0
100,2019/01/10 1:18:33 PM EST,5.0,3.0,-10.0,20.0,1.0,15.0,30.0,-82.0,-32.0,56.0,-50.0,302.0,30.0,none,masters,0
101,2019/01/10 1:19:47 PM EST,6.0,2.0,-88.0,50.0,1.0,15.0,32.0,-30.0,50.0,56.0,-50.0,302.0,44.0,m,phd,0
102,2019/01/10 1:20:18 PM EST,6.0,6.0,-200.0,200.0,1.0,15.0,30.0,-83.0,0.0,52.0,30.0,300.0,31.0,f,masters,0
103,2019/01/10 1:22:22 PM EST,8.0,5.0,-88.0,50.0,1.0,25.0,32.0,-50.0,-33.0,53.0,-51.0,302.0,27.0,m,high,0
104,2019/01/10 1:24:07 PM EST,7.0,6.0,-88.0,150.0,1.0,15.0,32.0,-85.0,-70.0,56.0,-51.0,302.0,19.0,m,2yr,0
105,2019/01/10 1:25:57 PM EST,8.0,8.0,-88.0,25.0,1.0,18.0,36.0,-86.0,-32.0,53.0,-50.0,302.0,24.0,m,4yr,0
106,2019/01/10 1:27:24 PM EST,3.0,1.0,-50.0,25.0,1.0,10.0,32.0,-80.0,-25.0,50.0,-50.0,300.0,44.0,m,high,0
107,2019/01/10 1:28:10 PM EST,3.0,5.0,-80.0,80.0,1.0,15.0,25.0,80.0,-50.0,52.0,-50.0,300.0,38.0,m,high,0
108,2019/01/10 1:28:31 PM EST,7.0,6.0,-88.0,75.0,1.0,15.0,32.0,-80.0,-25.0,55.0,-25.0,302.0,38.0,f,4yr,0
109,2019/01/10 1:30:14 PM EST,7.0,5.0,-90.0,25.0,1.0,15.0,70.0,-90.0,-30.0,50.0,-50.0,300.0,17.0,m,high,0
110,2019/01/10 1:36:01 PM EST,10.0,8.0,88.0,33.0,1.0,15.0,30.0,0.0,33.0,50.0,50.0,300.0,,none,none,0
111,2019/01/10 1:38:43 PM EST,4.0,2.0,-88.0,150.0,1.0,33.0,15.0,-88.0,-33.0,56.0,-51.0,303.0,29.0,f,4yr,0
112,2019/01/10 1:38:54 PM EST,8.0,7.0,-88.0,154.0,1.0,16.0,40.0,-88.0,75.0,56.0,-54.0,300.0,54.0,m,phd,0
113,2019/01/10 1:41:49 PM EST,4.0,4.0,-88.0,25.0,1.0,6.0,12.0,-66.0,-40.0,45.0,-55.0,80.0,17.0,m,high,0
114,2019/01/10 1:44:01 PM EST,7.0,6.0,-80.0,25.0,1.0,15.0,33.0,-86.0,-30.0,50.0,-50.0,300.0,26.0,m,4yr,0
115,2019/01/10 1:44:25 PM EST,10.0,7.0,-70.0,32.0,1.0,15.0,36.0,-86.0,-16.0,52.0,-52.0,302.0,22.0,none,4yr,0
116,2019/01/10 1:48:36 PM EST,9.0,8.0,-84.0,20.0,1.0,15.0,33.0,-84.0,-50.0,56.0,-50.0,302.0,43.0,m,4yr,0
117,2019/01/10 1:49:07 PM EST,6.0,8.0,-33.0,0.0,1.0,15.0,32.0,-20.0,0.0,52.0,-33.0,0.0,33.0,f,phd,0
118,2019/01/10 1:50:13 PM EST,8.0,2.0,88.0,302.0,1.0,15.0,32.0,0.0,33.0,56.0,-50.0,0.0,42.0,m,masters,0
119,2019/01/10 1:51:12 PM EST,5.0,4.0,-15.0,33.0,1.0,15.0,35.0,-86.0,-33.0,56.0,-51.0,302.0,44.0,m,phd,0
120,2019/01/10 1:52:14 PM EST,9.0,2.0,52.0,25.0,1.0,25.0,70.0,-80.0,-50.0,56.0,-40.0,33.0,31.0,m,high,0
121,2019/01/10 1:52:25 PM EST,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,,none,none,0
122,2019/01/10 1:56:15 PM EST,4.0,5.0,-30.0,80.0,1.0,25.0,30.0,50.0,30.0,30.0,-20.0,80.0,,none,masters,0
