"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 12:34:53 PM EST","3","4","50","12","1","12","42","84","3","42","20","20","","fgfffffffffffffff","High school/Secondary school/GED"
"2019/01/10 12:45:24 PM EST","8","4","","88","1","15","33","-82","-54","56","","302","34","Male","Master's degree"
"2019/01/10 12:46:38 PM EST","7","4","-66","25","1","15","25","-80","-50","50","-50","75","23","Male","High school/Secondary school/GED"
"2019/01/10 12:47:17 PM EST","7","6","-5","80","1","15","32","-14","1","56","-24","302","51","","4-year college degree (Bachelor's)"
"2019/01/10 12:50:42 PM EST","8","3","-82","25","1","15","36","-82","-15","52","-51","301","17","Male","High school/Secondary school/GED"
"2019/01/10 12:51:51 PM EST","2","6","-88","-20","1","15","30","-40","-30","51","-51","-20","44","Male","PhD or other advanced professional degree"
"2019/01/10 12:52:23 PM EST","5","7","85","15","1","30","35","-86","32","53","-23","68","","","4-year college degree (Bachelor's)"
"2019/01/10 12:52:29 PM EST","5","4","-10","25","1","19","40","-48","-25","57","-51","302","18","Male","High school/Secondary school/GED"
"2019/01/10 12:52:48 PM EST","4","8","","15","1","15","32","-84","-33","54","-50","302","","",""
"2019/01/10 12:53:09 PM EST","6","3","-88","15","1","15","33","-88","-33","51","-51","302","40","male","4-year college degree (Bachelor's)"
"2019/01/10 12:55:19 PM EST","8","7","-15","25","1","15","1","-84","33","51","33","302","52","Male","Master's degree"
"2019/01/10 12:55:36 PM EST","3","4","-88","25","1","15","33","-80","-25","46","-50","300","29","male","4-year college degree (Bachelor's)"
"2019/01/10 1:00:04 PM EST","4","2","-80","35","1","15","34","-80","-20","54","-65","85","22","Male","High school/Secondary school/GED"
"2019/01/10 1:01:30 PM EST","8","6","-56","","1","15","15","-45","-33","56","-30","88","36","male",""
"2019/01/10 1:03:35 PM EST","3","6","","15","1","15","35","","","56","","304","34","female","Master's degree"
"2019/01/10 1:05:31 PM EST","4","3","-80","50","1","20","50","-80","-30","10","-50","300","27","Male ","Master's degree"
"2019/01/10 1:05:56 PM EST","4","5","-85","25","1","36","47","-36","-33","58","-35","25","18","Non-binary","High school/Secondary school/GED"
"2019/01/10 1:10:43 PM EST","1","3","-200","320","1","12","40","-15","20","51","-100","320","25","Female","Master's degree"
"2019/01/10 1:12:34 PM EST","8","7","86","25","1","15","33","-80","-33","56","-50","306","34","Male","Master's degree"
"2019/01/10 1:14:23 PM EST","5","3","80","5","1","10","30","-82","30","51","-51","301","59","M","Master's degree"
"2019/01/10 1:16:33 PM EST","4","4","-33","302","1","15","33","-86","-33","56","-56","302","31","Female","PhD or other advanced professional degree"
"2019/01/10 1:17:27 PM EST","8","7","-87","90","1","26","64","84","-47","83","-30","25","15","M","High school/Secondary school/GED"
"2019/01/10 1:17:38 PM EST","8","6","88","25","1","15","35","-88","-45","56","-50","302","35","","4-year college degree (Bachelor's)"
"2019/01/10 1:18:33 PM EST","5","3","-10","20","1","15","30","-82","-32","56","-50","302","30","Make","Master's degree"
"2019/01/10 1:19:47 PM EST","6","2","-88","50","1","15","32","-30","50","56","-50","302","44","Male","PhD or other advanced professional degree"
"2019/01/10 1:20:18 PM EST","6","6","-200","200","1","15","30","-83","","52","30","300","31","Female","Master's degree"
"2019/01/10 1:22:22 PM EST","8","5","-88","50","1","25","32","-50","-33","53","-51","302","27","Male","High school/Secondary school/GED"
"2019/01/10 1:24:07 PM EST","7","6","-88","150","1","15","32","-85","-70","56","-51","302","19","male","2-year college degree (Associate's)"
"2019/01/10 1:25:57 PM EST","8","8","-88","25","1","18","36","-86","-32","53","-50","302","24","male","4-year college degree (Bachelor's)"
"2019/01/10 1:27:24 PM EST","3","1","-50","25","1","10","32","-80","-25","50","-50","300","44","male","High school/Secondary school/GED"
"2019/01/10 1:28:10 PM EST","3","5","-80","80","1","15","25","80","-50","52","-50","300","38","M","High school/Secondary school/GED"
"2019/01/10 1:28:31 PM EST","7","6","-88","75","1","15","32","-80","-25","55","-25","302","38","F","4-year college degree (Bachelor's)"
"2019/01/10 1:30:14 PM EST","7","5","-90","25","1","15","70","-90","-30","50","-50","300","17","Male","High school/Secondary school/GED"
"2019/01/10 1:36:01 PM EST","10","8","88","33","1","15","30","","33","50","50","300","","",""
"2019/01/10 1:38:43 PM EST","4","2","-88","150","1","33","15","-88","-33","56","-51","303","29","Female","4-year college degree (Bachelor's)"
"2019/01/10 1:38:54 PM EST","8","7","-88","154","1","16","40","-88","75","56","-54","300","54","M","PhD or other advanced professional degree"
"2019/01/10 1:41:49 PM EST","4","4","-88","25","1","6","12","-66","-40","45","-55","80","17","Male","High school/Secondary school/GED"
"2019/01/10 1:44:01 PM EST","7","6","-80","25","1","15","33","-86","-30","50","-50","300","26","Male","4-year college degree (Bachelor's)"
"2019/01/10 1:44:25 PM EST","10","7","-70","32","1","15","36","-86","-16","52","-52","302","22","Nb woman","4-year college degree (Bachelor's)"
"2019/01/10 1:48:36 PM EST","9","8","-84","20","1","15","33","-84","-50","56","-50","302","43","male","4-year college degree (Bachelor's)"
"2019/01/10 1:49:07 PM EST","6","8","-33","0","1","15","32","-20","0","52","-33","0","33","female","PhD or other advanced professional degree"
"2019/01/10 1:50:13 PM EST","8","2","88","302","1","15","32","","33","56","-50","","42","male","Master's degree"
"2019/01/10 1:51:12 PM EST","5","4","-15","33","1","15","35","-86","-33","56","-51","302","44","male","PhD or other advanced professional degree"
"2019/01/10 1:52:14 PM EST","9","2","52","25","1","25","70","-80","-50","56","-40","33","31","male","High school/Secondary school/GED"
"2019/01/10 1:52:25 PM EST","2","3","","","","","","-80","","","","","","",""
"2019/01/10 1:56:15 PM EST","4","5","-30","80","1","25","30","50","30","30","-20","80","","","Master's degree"
"2019/01/10 1:56:58 PM EST","7","6","50","200","1","25","20","13","-30","50","51","302","43","female","Master's degree"
"2019/01/10 1:57:06 PM EST","8","3","-81","51","1","15","32","-42","-18","52","-55","302","25","Male","Master's degree"
"2019/01/10 1:59:48 PM EST","6","4","-80","20","1","15","32","-85","-32","56","-50","302","47","male","Master's degree"
"2019/01/10 1:59:50 PM EST","5","6","-88","40","1","20","35","-60","-30","56","-88","303","29","Male","Master's degree"
"2019/01/10 2:00:16 PM EST","8","6","-88","25","1","15","32","-84","34","54","-52","302","28","male","4-year college degree (Bachelor's)"
"2019/01/10 2:02:12 PM EST","7","6","-88","26","1","15","30","-84","-33","56","-30","302","23","Male","Master's degree"
"2019/01/10 2:02:25 PM EST","7","2","-88","25","1","15","33","-80","-20","56","-50","300","56","male","PhD or other advanced professional degree"
"2019/01/10 2:03:13 PM EST","5","2","-33","80","1","33","","-88","-33","50","302","88","25","Male","Master's degree"
"2019/01/10 2:05:50 PM EST","2","3","-88","25","1","33","33","-32","-28","51","-51","302","49","m","PhD or other advanced professional degree"
